overall_rank,pos_rank,player_id,full_name,position,team,opponent_team,home,game_id,kickoff,proj,floor,ceiling,neutral,matchup_pts,matchup_grade,opp_rank,d_idx,implied,tier,injury,limited_history,depth_rank,headshot_url,f_targets,f_carries,f_attempts,f_passing_yards,f_rushing_yards,f_receiving_yards,f_target_share,f_fg_att,f_pat_att,f_fg_made_50plus,f_def_sacks,f_takeaways,f_points_allowed,opp_implied,outcomes,published_at,actual
198,70,00-0037614,John Metchie III,WR,CAR,CHI,1.0,2026_01_CHI_CAR,2026-09-13 13:00:00,7.185150400925404,1.0899198695321424,13.84319589185818,7.03034050482856,0.154809896096844,C,5,2.225905146267439,22.25,3,,False,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nsjpnskeldxzbzckpfgg",4.244903945427505,0.233732048360815,0.0,0.0,-0.1504680864875615,23.75691828364222,0.14952946192371,0.0,0.0,0.0,0.0,0.0,0.0,25.25,"[0.0, 0.51, 1.09, 1.74, 2.35, 2.93, 3.54, 4.19, 4.87, 5.6, 6.34, 7.31, 8.23, 9.39, 10.61, 12.16, 13.84, 16.29, 19.79]",2026-09-13 12:03:25,
199,21,00-0040899,Trey Smack,K,GB,MIN,0.0,2026_01_GB_MIN,2026-09-13 16:25:00,7.159490185145129,2.555790786839883,11.858066383898748,6.890343259894041,0.2691469252510883,B,15,0.2858368573434598,22.5,1,,True,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zierx6p09ilfe0o0ckj7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,"[0.38, 1.58, 2.56, 3.3, 3.92, 4.51, 5.04, 5.6, 6.18, 6.73, 7.38, 7.98, 8.56, 9.25, 10.03, 10.88, 11.86, 13.17, 15.13]",2026-09-13 12:03:25,
200,71,00-0041523,Caleb Douglas,WR,MIA,LV,0.0,2026_01_MIA_LV,2026-09-13 16:25:00,7.137391523291501,1.042160991898239,13.795437014224277,8.579012805694548,-1.4416212824030472,F,18,-0.8097966791562458,18.75,3,,True,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stwypvmutplwvi1zzbmu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,"[0.0, 0.47, 1.04, 1.69, 2.3, 2.88, 3.5, 4.14, 4.82, 5.56, 6.29, 7.26, 8.19, 9.35, 10.56, 12.11, 13.8, 16.24, 19.74]",2026-09-13 12:03:25,
201,26,00-0031610,Darren Waller,TE,CAR,CHI,1.0,2026_01_CHI_CAR,2026-09-13 13:00:00,7.132137097337337,1.5517938099555213,13.319689803796596,7.163060702044604,-0.0309236047072678,C,19,0.1215633882395767,22.25,3,,False,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/loyehiyzcu2lexjk7plq",3.903658696465766,0.1193389448046012,0.0,0.0,0.4773557792184051,30.0885721546668,0.1533611479782073,0.0,0.0,0.0,0.0,0.0,0.0,25.25,"[0.0, 0.76, 1.55, 2.12, 2.67, 3.24, 3.91, 4.51, 5.23, 5.91, 6.65, 7.53, 8.38, 9.4, 10.5, 11.72, 13.32, 15.24, 18.78]",2026-09-13 12:03:25,
202,8,DST_MIA,Miami Dolphins D/ST,DST,MIA,LV,0.0,2026_01_MIA_LV,2026-09-13 16:25:00,7.113852135867646,1.851026057630957,12.873777624095393,6.550209779764105,0.5636423561035411,A,1,3.114222554236355,18.75,1,,False,1.0,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,25.64322817712856,26.97467375299388,26.650543991172817,190.5216860265995,125.50932938977788,190.5216860265995,0.0,1.6951862772318709,1.9449327592254988,0.0,2.357990039570652,1.2467038408485198,25.12143423327065,21.75,"[-0.4, 0.89, 1.85, 2.56, 3.14, 3.83, 4.47, 4.98, 5.6, 6.13, 6.9, 7.61, 8.31, 9.22, 10.25, 11.51, 12.87, 14.7, 17.6]",2026-09-13 12:03:25,
203,27,00-0039066,Michael Mayer,TE,LV,MIA,1.0,2026_01_MIA_LV,2026-09-13 16:25:00,7.102654577678283,1.522311290296468,13.290207284137542,7.0493912922206015,0.0532632854576817,C,5,1.5502978030392829,21.75,3,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twnkr9uq1phvukxb5jmh",4.130611139249592,0.0,0.0,0.0,0.0,28.998567230628435,0.1491572196971691,0.0,0.0,0.0,0.0,0.0,0.0,18.75,"[0.0, 0.73, 1.52, 2.09, 2.64, 3.21, 3.88, 4.48, 5.2, 5.88, 6.62, 7.5, 8.35, 9.37, 10.47, 11.69, 13.29, 15.21, 18.76]",2026-09-13 12:03:25,
204,28,00-0037252,Greg Dulcich,TE,MIA,LV,0.0,2026_01_MIA_LV,2026-09-13 16:25:00,7.100492495671235,1.5201492082894197,13.288045202130494,7.431641051446269,-0.3311485557750346,D,21,-0.0558540108920736,18.75,3,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kw4cwgjl4kywh6le4sfh",3.699303009965451,0.1503576486315595,0.0,0.0,-1.0525035404209169,38.691157284533006,0.1570803751791944,0.0,0.0,0.0,0.0,0.0,0.0,21.75,"[0.0, 0.73, 1.52, 2.09, 2.63, 3.21, 3.88, 4.47, 5.19, 5.88, 6.62, 7.5, 8.35, 9.37, 10.47, 11.68, 13.29, 15.21, 18.75]",2026-09-13 12:03:25,
205,29,00-0037112,Jake Tonges,TE,SF,LA,0.0,2026_01_SF_LA,2026-09-10 20:35:00,7.090351417389348,1.5100081300075328,13.277904123848607,7.151336559876768,-0.0609851424874197,C,25,-0.1935901664507666,22.0,3,,False,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z6goxhdhfc2m0rmwvtbl",4.604517447162857,0.0,0.0,0.0,0.0,31.54420692795219,0.1357448744195507,,,,,,,,,,0.0
206,22,00-0040279,Ryan Fitzgerald,K,CAR,CHI,1.0,2026_01_CHI_CAR,2026-09-13 13:00:00,7.087047930540314,2.483348532235068,11.785624129293932,7.295307178619812,-0.2082592480794973,C,29,-0.9714458128794564,22.25,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/giy8qnq6njxzwtqvqdsm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5582227715730923,2.030245320854584,0.0532135823139347,0.0,0.0,0.0,25.25,"[0.31, 1.5, 2.48, 3.23, 3.85, 4.44, 4.97, 5.53, 6.1, 6.66, 7.31, 7.9, 8.49, 9.18, 9.96, 10.8, 11.79, 13.1, 15.06]",2026-09-13 12:03:25,
207,9,DST_NYJ,New York Jets D/ST,DST,NYJ,TEN,0.0,2026_01_NYJ_TEN,2026-09-13 13:00:00,7.042951569859596,1.7801254916229077,12.802877058087342,6.106957872678435,0.9359936971811617,A,10,0.7026200524165528,18.5,1,,False,1.0,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,28.295878444007048,26.101506647686463,29.55598558568904,155.14670750777415,114.12375707457508,155.14670750777415,0.0,1.5059325096322729,1.1697152819159222,0.0,1.3795168188250566,0.2973000385475037,31.546908417711883,20.0,"[-0.47, 0.82, 1.78, 2.49, 3.07, 3.76, 4.4, 4.91, 5.53, 6.06, 6.83, 7.53, 8.24, 9.15, 10.18, 11.44, 12.8, 14.63, 17.53]",2026-09-13 12:03:25,
