game_id,season,week,kickoff,team,opponent,home_away,main_line,expected_margin,safe_line,safe_prob,safe_fair_odds,extra_safe_line,extra_safe_prob,extra_safe_fair_odds,cushion,completed,covered,final_margin
2026_01_NE_SEA,2026,1,2026-09-09 20:20:00,SEA,NE,home,-3.0,3.3,9.5,0.8519062443149137,-575,14.5,0.9146974653014556,-1072,12.5,True,True,3.0
2026_01_SF_LA,2026,1,2026-09-10 20:35:00,LA,SF,home,-3.5,3.6,8.5,0.8538064430652106,-584,13.5,0.9015312349327286,-916,12.0,True,False,-20.0
2026_01_ATL_PIT,2026,1,2026-09-13 13:00:00,PIT,ATL,home,-6.5,6.8,6.5,0.8746017270080807,-697,8.5,0.906908240401002,-974,13.0,False,,
2026_01_BAL_IND,2026,1,2026-09-13 13:00:00,BAL,IND,away,-3.5,3.7,8.5,0.8542282073014782,-586,13.5,0.9018648408371835,-919,12.0,False,,
2026_01_BUF_HOU,2026,1,2026-09-13 13:00:00,BUF,HOU,away,-1.5,1.5,11.5,0.8509921201125239,-571,16.5,0.9052737918103917,-956,13.0,False,,
2026_01_CHI_CAR,2026,1,2026-09-13 13:00:00,CHI,CAR,away,-3.0,3.1,10.5,0.8724367669927796,-684,14.5,0.9130269381029785,-1050,13.5,False,,
2026_01_CLE_JAX,2026,1,2026-09-13 13:00:00,JAX,CLE,home,-8.5,9.1,3.5,0.8588608053962243,-609,7.5,0.92393829688425,-1215,12.0,False,,
2026_01_NO_DET,2026,1,2026-09-13 13:00:00,DET,NO,home,-7.0,7.3,5.5,0.8570608540054685,-600,7.5,0.9042622990113859,-945,12.5,False,,
2026_01_NYJ_TEN,2026,1,2026-09-13 13:00:00,TEN,NYJ,home,-1.5,1.6,11.5,0.8542697772511479,-586,15.5,0.9007530002656284,-908,13.0,False,,
2026_01_TB_CIN,2026,1,2026-09-13 13:00:00,CIN,TB,home,-3.5,3.7,8.5,0.8541052802310259,-585,13.5,0.9017674295030064,-918,12.0,False,,
2026_01_ARI_LAC,2026,1,2026-09-13 16:25:00,LAC,ARI,home,-9.5,9.8,3.5,0.8725467822633843,-685,6.5,0.90796729110871,-987,13.0,False,,
2026_01_GB_MIN,2026,1,2026-09-13 16:25:00,MIN,GB,home,-2.5,2.5,10.5,0.8625641631024649,-628,14.5,0.9052474751933313,-955,13.0,False,,
2026_01_MIA_LV,2026,1,2026-09-13 16:25:00,LV,MIA,home,-3.0,2.8,10.5,0.868025464976496,-658,14.5,0.9094266576312156,-1004,13.5,False,,
2026_01_WAS_PHI,2026,1,2026-09-13 16:25:00,PHI,WAS,home,-6.0,6.4,6.5,0.8692750127464001,-665,8.5,0.9032430535078558,-934,12.5,False,,
2026_01_DAL_NYG,2026,1,2026-09-13 20:20:00,DAL,NYG,away,-3.0,2.8,10.5,0.8684986694740842,-660,14.5,0.9098033175794422,-1009,13.5,False,,
2026_01_DEN_KC,2026,1,2026-09-14 20:15:00,KC,DEN,home,-2.5,2.4,10.5,0.8620690364379984,-625,14.5,0.9048827069094847,-951,13.0,False,,
