game_id,kickoff,team,opponent,home_away,expected_qb,analytics_win_pct,market_win_pct,vegas_win_pct,spread,result
2026_01_NE_SEA,2026-09-09 20:20:00,SEA,NE,home,Sam Darnold,64.9,60.8,60.0,-3.0,W
2026_01_NE_SEA,2026-09-09 20:20:00,NE,SEA,away,Drake Maye,35.1,39.2,40.0,3.0,L
2026_01_SF_LA,2026-09-10 20:35:00,LA,SF,home,Matthew Stafford,60.1,66.2,65.7,-3.5,L
2026_01_SF_LA,2026-09-10 20:35:00,SF,LA,away,Brock Purdy,39.9,33.8,34.3,3.5,W
2026_01_ATL_PIT,2026-09-13 13:00:00,PIT,ATL,home,Aaron Rodgers,67.7,72.5,71.8,-6.5,
2026_01_ATL_PIT,2026-09-13 13:00:00,ATL,PIT,away,Cooper Rush,32.3,27.5,28.2,6.5,
2026_01_BAL_IND,2026-09-13 13:00:00,IND,BAL,home,Daniel Jones,39.7,38.6,39.1,3.5,
2026_01_BAL_IND,2026-09-13 13:00:00,BAL,IND,away,Lamar Jackson,60.3,61.4,60.9,-3.5,
2026_01_BUF_HOU,2026-09-13 13:00:00,HOU,BUF,home,C.J. Stroud,51.8,49.7,49.6,1.5,
2026_01_BUF_HOU,2026-09-13 13:00:00,BUF,HOU,away,Josh Allen,48.2,50.3,50.4,-1.5,
2026_01_CHI_CAR,2026-09-13 13:00:00,CAR,CHI,home,Bryce Young,41.8,39.2,39.6,3.0,
2026_01_CHI_CAR,2026-09-13 13:00:00,CHI,CAR,away,Caleb Williams,58.2,60.8,60.4,-3.0,
2026_01_CLE_JAX,2026-09-13 13:00:00,JAX,CLE,home,Trevor Lawrence,83.9,80.6,79.1,-8.5,
2026_01_CLE_JAX,2026-09-13 13:00:00,CLE,JAX,away,Deshaun Watson,16.1,19.4,20.9,8.5,
2026_01_NO_DET,2026-09-13 13:00:00,DET,NO,home,Jared Goff,71.8,74.3,73.4,-7.0,
2026_01_NO_DET,2026-09-13 13:00:00,NO,DET,away,Tyler Shough,28.2,25.7,26.6,7.0,
2026_01_NYJ_TEN,2026-09-13 13:00:00,TEN,NYJ,home,Cam Ward,57.1,52.2,51.7,-1.5,
2026_01_NYJ_TEN,2026-09-13 13:00:00,NYJ,TEN,away,Geno Smith,42.9,47.8,48.3,1.5,
2026_01_TB_CIN,2026-09-13 13:00:00,CIN,TB,home,Joe Burrow,60.6,64.9,64.5,-3.5,
2026_01_TB_CIN,2026-09-13 13:00:00,TB,CIN,away,Baker Mayfield,39.4,35.1,35.5,3.5,
2026_01_ARI_LAC,2026-09-13 16:25:00,LAC,ARI,home,Justin Herbert,71.8,80.7,80.0,-9.5,
2026_01_ARI_LAC,2026-09-13 16:25:00,ARI,LAC,away,Jacoby Brissett,28.2,19.3,20.0,9.5,
2026_01_GB_MIN,2026-09-13 16:25:00,MIN,GB,home,Kyler Murray,48.6,54.1,54.3,-1.5,
2026_01_GB_MIN,2026-09-13 16:25:00,GB,MIN,away,Jordan Love,51.4,45.9,45.7,1.5,
2026_01_MIA_LV,2026-09-13 16:25:00,LV,MIA,home,Kirk Cousins,42.2,59.8,60.4,-3.0,
2026_01_MIA_LV,2026-09-13 16:25:00,MIA,LV,away,Malik Willis,57.8,40.2,39.6,3.0,
2026_01_WAS_PHI,2026-09-13 16:25:00,PHI,WAS,home,Jalen Hurts,73.4,70.7,69.6,-6.0,
2026_01_WAS_PHI,2026-09-13 16:25:00,WAS,PHI,away,Jayden Daniels,26.6,29.3,30.4,6.0,
2026_01_DAL_NYG,2026-09-13 20:20:00,NYG,DAL,home,Jaxson Dart,56.4,40.5,40.0,3.0,
2026_01_DAL_NYG,2026-09-13 20:20:00,DAL,NYG,away,Dak Prescott,43.6,59.5,60.0,-3.0,
2026_01_DEN_KC,2026-09-14 20:15:00,KC,DEN,home,Patrick Mahomes,47.1,54.9,55.1,-2.5,
2026_01_DEN_KC,2026-09-14 20:15:00,DEN,KC,away,Bo Nix,52.9,45.1,44.9,2.5,
