game_id,season,week,kickoff,team,opponent,home_away,main_line,expected_margin,safe_line,safe_prob,safe_fair_odds,extra_safe_line,extra_safe_prob,extra_safe_fair_odds,cushion,completed,covered,final_margin
2026_03_ATL_GB,2026,3,2026-09-24 20:15:00,GB,ATL,home,-4.5,5.0,7.5,0.8676562535981303,-656,10.5,0.9036209475307556,-938,12.0,True,False,-21.0
2026_03_CAR_CLE,2026,3,2026-09-27 13:00:00,CAR,CLE,away,-2.5,2.5,10.5,0.8637870312379908,-634,14.5,0.9065690530855048,-970,13.0,False,,
2026_03_CIN_PIT,2026,3,2026-09-27 13:00:00,CIN,PIT,away,-3.5,3.6,8.5,0.8527375424866973,-579,13.5,0.9004430732546288,-904,12.0,False,,
2026_03_HOU_IND,2026,3,2026-09-27 13:00:00,HOU,IND,away,-1.5,1.6,11.5,0.85255328411481,-578,15.5,0.9000326880434614,-900,13.0,False,,
2026_03_KC_MIA,2026,3,2026-09-27 13:00:00,KC,MIA,away,-10.0,10.1,3.5,0.8741232899426497,-694,6.5,0.9102021189075804,-1014,13.5,False,,
2026_03_LAC_BUF,2026,3,2026-09-27 13:00:00,BUF,LAC,home,-7.0,7.5,5.5,0.8582699383424424,-606,7.5,0.9052623375050576,-956,12.5,False,,
2026_03_NE_JAX,2026,3,2026-09-27 13:00:00,JAX,NE,home,-3.0,3.1,10.5,0.8719169596529347,-681,14.5,0.9128796962944101,-1048,13.5,False,,
2026_03_NYJ_DET,2026,3,2026-09-27 13:00:00,DET,NYJ,home,-6.5,7.0,5.5,0.8522973937075646,-577,7.5,0.9006125132544979,-906,12.0,False,,
2026_03_SEA_WAS,2026,3,2026-09-27 13:00:00,SEA,WAS,away,-7.5,7.8,5.5,0.8605534458053785,-617,7.5,0.9071358615654601,-977,13.0,False,,
2026_03_TEN_NYG,2026,3,2026-09-27 13:00:00,NYG,TEN,home,-2.5,2.9,10.5,0.8686364320943561,-661,14.5,0.9102489659237676,-1014,13.0,False,,
2026_03_ARI_SF,2026,3,2026-09-27 16:05:00,SF,ARI,home,-8.5,9.1,3.5,0.8543609148463455,-587,7.5,0.9222746930014032,-1187,12.0,False,,
2026_03_MIN_TB,2026,3,2026-09-27 16:05:00,MIN,TB,away,-1.5,1.6,11.5,0.8527531756672531,-579,15.5,0.900194054764988,-902,13.0,False,,
2026_03_BAL_DAL,2026,3,2026-09-27 16:25:00,BAL,DAL,away,-3.5,3.6,8.5,0.8525298426916095,-578,13.5,0.9002821567825272,-903,12.0,False,,
2026_03_LV_NO,2026,3,2026-09-27 16:25:00,NO,LV,home,-3.0,3.2,9.5,0.8505370218198253,-569,14.5,0.9139472968627971,-1062,12.5,False,,
2026_03_LA_DEN,2026,3,2026-09-27 20:20:00,LA,DEN,away,-2.5,2.5,10.5,0.8635640120977611,-633,14.5,0.9064055791739782,-968,13.0,False,,
2026_03_PHI_CHI,2026,3,2026-09-28 20:15:00,PHI,CHI,away,-4.5,4.3,7.5,0.8537808820979256,-584,12.5,0.9035824060896301,-937,12.0,False,,
